ltable_title,ltable_description,ltable_brand,rtable_title,rtable_description,rtable_brand,label,id
mac mini qc i5 2 6ghz 8gb 1tb iris graphics hp omen ordenador de sobremesa by 870 110ns black friday 2017,,,mac mini qc i5 2 6ghz 8gb 1tb iris graphics tdt aio ideacentre 510s 23fhd 6200u 23 black friday 2017,,,1,770253#10071299
gigabyte h110m s2h intel h110 socket 1151 ddr4 micro atx motherboard m ocuk,skylake 6th gen ddr4 1x pcie x16 2x pci e x1 4x sata 6gb s gigabit lan 7 1 hd audio 4x usb3 0 8x usb2 0,gigabyte,asus strix z270g gaming intel z270 socket 1151 micro atx motherboard novatech,i7 i5 i3 7th gen atx ddr4 2 x usb3 1 gen 2 type a c 6 x usb 3 1 gen 1 6 x sata3 2 x m 2 slots 2 x pcie 3 0x16 2 way sli 2 way crossfire,asus,0,5233307#3671629
"st2000nm0011 seagate 2 tb 7 2k 3 5 6g sp sata , null",description 5 x seagate constellation es 2 tb hot plug serial ata sata 6 0gb s 7200rpm 3 inch form factor single port 64mb hard drivepart number manufacturer part st2000nm0011,seagate,"st3500630ns hp 500 gb 7 2k 3 5 1 5g sata , null",description 10 x hpe 500gb hot plug serial ata sata 1 5g 7200rpm 3 5 inch lff ncq native command queing in hard drive tray as pictured for g1 g7 proliant serversgenuine number and firmwaregenuine certified drivepart s option part 395473 b21 spare 395501 001 002 assembly 395474 407525 004 431689 003 432337 454141 601452 model 6h500f0 gb0500c4413 gb0500c8046 mb0500cbepq st3500630ns st3500641as wd5000ys 70mpb0 70vjb1,hp enterprise,0,16849777#17073491
3 5 pouces 26 1mm ironwolf 10to 7200t min 256mo cache sata 6gb s garantie 36 mois,,seagate,wd 500gb 3 5 blue 32mb 7200rpm sata iii disk wd5000azlx,,western digital,0,7333743#3954171
kingston valueram ddr4 16 gb 2 x 8 dimm 288 pin kvr21n15s8k2 system memory ram cdw com,valueram is kingston s value priced line of industry standard generic memory intended for customers who have white box or generic computer systems or who plan to purchase memory by specification valueram is designed to industry specifications tested is 100 tested and is available at competitively low prices,,8gb 2133mhz ddr4 ecc cl15 sodimm tradineur com,capacidad total 8 gb frecuencia bus clock rate 2 133 mhz tecnolog a ddr4 tft kit no tipolog a so dimm analogico generica s,,0,3919957#5835122
hdd desk black 1tb 3 5 sata 6gbs 64mb redes tu tienda online l der con precios m s baratos,wd black performance hard drive wd1003fzex disco duro 1 tb interno 3 5 sata 6gb s 7200 rpm b fer 64 mb,,seagate barracuda 1tb internal sata 3 hard drive ln42410 st1000dm003 scan uk,1tb seagate st1000dm003 barracuda 7200 14 sata 6gb s 7200rpm 64mb cache 8ms ncq oem,,0,7737560#3233055
crucial mx300 2 5 750gb prijzen tweakers,,,samsung 850 evo ssd series 1tb sata3,,,0,11069787#10298451
"null , 493243 b22 hp xeon x3330 2 66ghz dl120 g5 wholesale price",description intel xeon x3330 d120 g5 2 66ghz 4 core 6mb 95w full processor option kitpart number s manufacturer part 493243 b22,hp enterprise,"487511 b21 hp xeon x5470 3 33ghz dl360 g5 , null new wholesale price",description intel xeon x5470 dl360 g5 3 33ghz 4 core 12mb 120w full processor option kitpart number s option part 487511 b21,hp enterprise,0,15911732#15166102
amd ryzen 3 quad core 1300x 70ghz socket am4 processor retail ocuk,yd130xbbaebox quad core with four threads 3 70ghz clock speed 14nm finfet process 8mb l3 cache dual channel ddr4 controller 3 year warranty,amd,intel core i7 3770k quad processor 3 5 ghz 8 mb cache lga 1155 bx80637i73770k cpu processors page 6 free hosting,intel bx80637i73770k core i7 3770k ivy bridge 3 5ghz lga 1155 77w quad core desktop processor intel hd graphics 4000,intel,0,1156257#17536794
hp laserjet enterprise 700 color mpf m775z store netherlands,produceer grote volumes professionele kleurenprints op papierformaten tot a3 met een invoercapaciteit tot 4350 vel 2 bekijk en bewerk scanjobs beheer printpolicy s centraal bescherm gevoelige bedrijfsinformatie printen kopi ren scannen faxen digital sending direct toegankelijke usb offset en nietfunctie lade 1 a3 a4 a4 r a5 a6 ra3 sra3 ra4 sra4 b4 jis b5 jis b6 jis 10 x 15 cm briefkaart jis dpostcard jis enveloppen b5 c5 c6 dl lade 2 a3 a4 a4 r a5 ra4 sra4 b4 jis b5 jis dpostcard jis lade 3 4 a4 1 hi speed usb 2 0 host 1 hi speed usb 2 0 apparaat 1 gigabit ethernet 10 100 1000t netwerk 1 foreign interface harness fih 1 hardware integratiepocket hip 2 interne usb 2 0 host 1 faxpoort 120 000 pagina s e n jaar garantie met onsite service op de volgende werkdag garantie en supportopties vari ren per product land en lokale wettelijke vereisten kijk op http www hp com support voor informatie over toonaangevende hp service en supportopties in uw regio,,hp pavilion x360 11 ad018ca store canada,be free to create connect and share in more ways than ever before now ready for pen the pavilion x360 is more than a laptop it s the one device for everything you re into windows 10 home 64 intel pentium n4200 1 1 ghz base frequency up to 2 5 ghz burst frequency 2 mb cache 4 cores 11 6 diagonal hd touch display 4 gb ddr3l 1600 sdram 1 x 4 gb 500 gb 5400 rpm sata 1 year limited hardware warranty toll free technical support 90 days limited software technical support from date of purchase,,0,10071189#17348137
lenovo thinkpad 14 sleeve black 4x40n18009,,,thinkpad 180 gb m 2 sata opal solid state drive storage lenovo australia,,,0,17132555#8768452
apple 21 5 2 5ghz intel quad core i5 imac desktop computer z0h6tbd2 abt,,apple,apple 21 5 2 7ghz intel quad core i5 imac desktop computer z0m5tbd3 abt,,apple,0,3226970#9014653
corsair vengeance pro cmy16gx3m2a2133c11 prijzen tweakers,,,corsair vengeance led 64gb 4x16gb ddr4 pc4 24000c15 3000mhz quad channel kit red 3000mh ocuk,3000mhz ram speed cas 15 16 16 36 timings 1 20 1 35v vdimm lifetime warranty with ocuk,corsair,0,779507#2368619
128gb sdxc class 10 uhs i ultimate tradineur com,tipolog a secure digital xc analogico capacidad 128 gb velocidad de escritura max 45 mb s velocidad de lectura max 90 mb s clase 10 funci n protecci n datos s,,kingston digital 128gb sdxc class 10 uhs i 90r 45w flash card sda10 accessories page 473 roaming free sims,kingston s class 10 uhs i ultimate card features uhs i technology and impressive performance that lets users shoot full 1080p hd video and 3d video and transfer files faster too with speeds up to 90mb s read and 45mb s write1 this versatile card transfers files much faster than standard class 10 sdhc sdxc cards capacities up to 128gb2 let users record more video up to 640 minutes at 24mbps of hd video without having to switch cards photographers can shoot high density image files such as raw or jpeg without running out of space and the card s higher sustained write speeds support continuous burst mode and ensure video integrity by reducing stutter the class 10 uhs i ultimate card is compatible with sdhc 16gb 32gb and sdxc the card is backed by a lifetime warranty free technical support and legendary kingston reliability,kingston,1,16184300#7771856
lenovo thinkserver td350 xeon e5 2620 v4 16gb 70dg007qux,,,lenovo thinkserver rd350 rack mountable xeon e5 2609v4 1 7 ghz 16 gb 70qk000wux x86 based servers cdw com,balanced performance means the lenovo thinkserver rd350 is loaded with the features you need and nothing you don t all in a slim 1u design advanced processor gives you outstanding performance for your workloads with high reliability features such as embedded raid and hot swap and redundant power you get peace of mind that your data is safe and your system is available this enterprise class server has just the right amount of computing power for your infrastructure collaboration and line of business applications,,0,5345625#14846461
corsair vengeance lpx cmk64gx4m4a2666c16 prijzen tweakers,,,corsair 16gb vengeance lpx ddr4 3200mhz ram memory kit 4x 4gb ln69132 cmk16gx4m4c3200c16 scan uk,16gb 4x4gb corsair ddr4 vengeance lpx black pc4 25600 3200 non ecc unbuffered cas 16 18 18 36 xmp 2 0 1 35v,,0,16272671#8017695
"null , st31000340as seagate 1 tb 7 2k 3 5 3g sata",description 5 x seagate barracuda 1tb hot plug serial ata sata ncq 3 0gb s 7200rpm inch form factor 32mb desktop hard drivepart number manufacturer part st31000340as alternate st31000340ns,seagate,"st2000nm0011 seagate 2 tb 7 2k 3 5 6g sp sata , null pack wholesale price 5pack",description 5 x seagate constellation es 2 tb hot plug serial ata sata 6 0gb s 7200rpm 3 5 inch form factor single port 64mb hard drivepart number s manufacturer part st2000nm0011,seagate,0,15037353#12113354
asus rog g501vw fw106t i7 6700hq 8gb 1tb nvidia gtx960 2gb w10 15 6 black friday 2017 megacomponentes com inform tica y tecnolog a,,,asus rog g501vw fw106t i7 6700hq 8gb 1tb nvidia gtx960 2gb w10 15 6 zenbook 3 ux390ua gs042r i5 7200u 256gb ssd 12 5 fhd azul,procesador intel core i7 6700hq memoria ram 8gb ddr4 disco duro 1tb sata hdd 5400 almacenamiento ptico no incluido pantalla 15 6 16 9 full hd 1920x1080 wide view angle pantalla antirreflejos nvidia geforce gtx 960m con 2gb gddr5 sistema operativo windows 10 home,,1,6597944#2925762
hp envy 13 ad015na touchscreen laptop natural silver laptops store uk,,,amazonbasics 13 3 inch laptop sleeve black sleeves bica,the amazonbasics 13 3 inch laptop sleeve provides stylish protection for your laptop or ultrabook protect your laptop from bumps and scratches,amazonbasics,0,16003433#7926866
apple mac mini core i5 2 6ghz 8gb 1tb 5400 iris gbe ac bt buy at connection public sector solutions,,,apple mac mini dts core i5 2 6 ghz 8 gb 1 tb mgen2ll a desktop computers cdw com,mac mini features powerful processors faster integrated graphics thunderbolt 2 wi fi and plenty of ports everything you expect from a mac and more,,1,3721117#4849514
seagate 10tb 3 5 sata ironwolf nas hard drive hdd st10000vn0004 ln74276 scan uk,10tb seagate st10000vn0004 ironwolf nas sata iii 6gb s 7200rpm 256mb cache 4 16ms ncq oem,,seagate ironwolf 10tb reviews admiral freebee userreviews tweakers,,,1,3568455#7188040
asus m5a99fx pro r2 0 prijzen tweakers,,,asus tuf sabertooth x99 motherboard intel socket 2011 3 atx novatech,core i7 5th gen atx ddr4 2 x usb3 1 8 x usb3 8 x usb2 6 x sata3 1 x satae 1 x m 2 3 x pcie x16 1 x pcie x4 1 x pcie x1 crossfirex sli,asus,0,5405075#7184662
"null , 658102 001 hp g8 g9 2 tb 6g 7 2k 3 5 sata sc new pack wholesale price 2pack",description 2 x hpe 2tb 3 5 inch lff serial ata sata 6g7 2k hot plug midline mdl hard drive in g8 g9 gen8 gen9 smartdrive carrier sc as pictured genuine hpe serial number and firmwaregenuine hpe certified hard drivepart number s option part 658079 b21 spare part 658102 001,hp enterprise,"st31000640ns seagate 1 tb 7 2k 3 5 sata , null",description 2 x 1 0tb seagate barracuda es hot plug serial ata sata 3 0gb s 7200 rpm 5 inch form factor lff hard drive part number model st31000640ns alternate st31000340ns,seagate,0,15544803#4606502
hp laserjet enterprise 700 color mpf m775z printers store netherlands,,,hp pavilion x360 11 ad018ca pc portables store canada,,,0,13958701#9325351
amd ryzen 5 1500x quad core processor with wraith spire 95w cooler yd150xbbaebox novatech,ryzen 5 1500x 4c 8t 3 6 3 7ghz 2mb l2 16mb l3 cache 65w am4 14nm,amd,intel core i5 4590 haswell 3 ghz lga 1150 boxed processor bx80646i54590 micro center,the intel core i5 4590 3 7 ghz processor is equipped with 4 cores and can be installed in the lga1150 socket it delivers an improved automatic performance thanks to its intel turbo boot technology the intel core i5 4590 processor has intel hd graphics 4600 technology integrated into it it also comes with intel clear video hd technology to handle high definition playback with ease createcookie t432161 q29yzsbpns00ntkwiehhc3dlbgwgmy4ziedieibmr0egmte1mcbcb3hlzcbqcm9jzxnzb3i 30 createcookie s432161 207332 30,"intel ,  null",0,2359048#272473
kingston valueram kvr21n15s8k2 16 prijzen tweakers,,,kingston hyperx fury ddr4 2400 pc4 19200 32gb 2x16gb cl15 pccomponentes,,,0,7528647#3387609
corsair vengeance led 64gb 4x16gb ddr4 pc4 24000c15 3000mhz quad channel kit red 3000mh ocuk,3000mhz ram speed cas 15 16 16 36 timings 1 20 1 35v vdimm lifetime warranty with ocuk,corsair,corsair 16gb pc4 21300 288 pin ddr4 sdram dimm kit cmu16gx4m2a2666c16r,,,0,2368619#7607581
"null , dg0300bahzq hp 300 gb 3g 10k 2 5 dp sas hdd new wholesale price",description 300gb 2 5 inch serial attached scsi sas sff 3g dual port hot plug 10k hard drivein hpe hot plug hard drive tray as pictured for g1 g7 proliant sas serversgenuine hpe serial number and firmwaregenuine hpe certified hard drivepart number s option part 492620 b21 spare part 493083 001 assembly part 492619 002 model dg0300bahzq,hp enterprise,"null , dg0300bahzq hp 300 gb 3g 10k 2 5 dp sas new pack wholesale price 5pack",description 5 x 300gb 2 5 inch serial attached scsi sas sff 3g dual port hot plug 10k hard drivein hpe hot plug hard drive tray as pictured for g1 g7 proliant sas serversgenuine hpe serial number and firmwaregenuine hpe certified hard drivepart number s option part 492620 b21 spare part 493083 001 assembly part 492619 002 model dg0300bahzq,hp enterprise,1,16063811#14429199
amd processor 8c fx 8350 4 0ghz 8mb 125w box fd8350frhkbox,,,amd processor 8c fx 8320 3 5ghz 16mb 125w box fd8320frhkbox,,,0,7467147#13271391
3 5 pouces wd red nas 6to 5400t min 64mo cache sata 6gb s bulk garantie 36 mois,,western digital,wd 1tb av sata 6gb s 3 5 internal hard drive 64mb cache wd10purz,,,0,7977693#16963082
asus zenbook 3 deluxe ux490ua be029t i5 7200u 8gb 256gb ssd 14 w10 azul pro b9440ua gv0132r i7 7500u led fhd w10pro,14 i5 7200u 8gb ssd256gb win10,,hp zbook 15 g3 i7 6700hq 8gb 256gb ssd quadro m1000 2gb 6 w7 w10pro elite x2 1012 g1 2 en 1 core m7 6y65 4g lte tactil,windows 7 pro 64 actualizable a windows 10 pro procesador intel core i7 6700hq 15 6 led fhd uwva ips antirreflectante 1920 x 1080 memoria 8 gb ddr4 2133 2 x 4 gb disco duro unidad turbo hp z de 256 gb ssd pcle gr ficos nvidia quadro m1000m gddr5 dedicada de 2 gb,,0,16110448#9714207
3 5 pouces 26 1mm barracuda 2to 7200t min 64mo cache sata 6gb s garantie 24 mois,,seagate,seagate 2tb barracuda sata 6gb s 3 5 internal hard drive buy at connection public sector solutions,,,1,11302465#12505425
samsung s24d330h 24 full hd led monitor inch 1ms hdmi ls24d330hsx en ccl computers,experience darker blacks with game modeinstantly optimising screen colours and contrast for gaming game mode ensures you get to see game scenes at their best easy on the eyes for a more comfortable viewing experienceeye saver mode unlike other colours emitted from screens blue light wavelengths have a more stimulating effect on the retina causing eye fatigue eye saver mode optimises your viewing comfort by smartly reducing blue light emissions at the touch of a button flicker free flicker free technology reduces screen flickering for a more comfortable viewing experiencesave energy and the environment with this eco friendly monitoreco saving plus eco saving technology reduces screen brightness for increased energy efficiency in addition to the two standard manual settings minimum at 25 and maximum at 50 there is now a brand new auto setting that reduces energy up about 10 based on the luminescence of the screen s black sections the screen brightness transitions fluidly while simultaneously saving energy pvc free monitor mechanisms and circuits are constructed without pvc making for an eco friendly device lessening environmental impact based on internal testing some cabling contains pvc,samsung,apple imac 24 inch 2 4ghz core duo mid 2007 ma878ll macofalltrades,apple part number ma878ll hardware configuration 24 inch glossy widescreen tft lcd display 1920x1200 resolution 2 4ghz intel core 2 duo processor 2 0gb 2x1 0gb pc2 5300 667mhz ddr2 so dimm supports up to 6 0gb 320gb serial ata hard disk drive 7200rpm dvd rw cd rw superdrive dl ati radeon hd 2600 pro graphics with 256mb gddr3 memory airport extreme wireless card 802 11a b g n bluetooth 2 0 edr built in isight camera 1 mini dvi port 3 usb 2 0 ports 1 firewire 400 port 1 firewire 800 port 1 ethernet portpower cable included,,0,15501993#15839149
intel solid state drive dc s3500 series 120 gb sata ssdsc2bb120g401 drives ssds cdw com,the intel ssd dc s3500 series combines fast consistent read performance with strong data protection and low active power levels to provide superior quality of service for video conferencing big data analytics or virtual client applications consistently low read latencies of 50 s typical 500 s max for 99 9 of the time along with a tight distribution of up to 75 000 input output per second iops delivers a high performance reliable and efficient ssd specifically designed for data center application upgrades,,sandisk 256gb z400s m 2 sata business class ssd solid state drive ln70221 sd8snat 256g 1122 scan uk,256gb sandisk z400s m 2 22x80 ssd m 2 sata sm2246xt 2 23mm read 546mb s write 342mb s 36 6k 69 4k iops retail,,0,16846533#10443511
ssd 1t0 samsung 850 evo 2 5 pouces,,samsung,discontinued samsung 840 evo 250gb 2 5 inch sata iii internal ssd mz 7te250bw data storage page 6 laptops outlet direct,upgrading your pc with a samsung ssd is the most economical way to breathe new life into an aging pc the 840 evo reads writes and multi tasks at incredible speeds enhancing boot up speed application loading and multi tasking performance it s more than an upgrade it s a complete transformation of your pc,samsung,0,583928#10850011
corsair carbide series 400r mid tower atx gaming computer case cc 9011011 ww micro center,the 400r computer case has been carefully designed to provide a generous amount of internal volume and it puts that volume to good use theres room for eight pci e cards of up to 316mm in length and even room for a full 240mm radiator for compatibility with the hydro series h100 liquid cpu cooler and modular watercooling systems createcookie t366600 q2fyymlkzsbtzxjpzxmgndawuibnawqgvg93zxigqvryiedhbwluzybdb21wdxrlcibdyxnl 30 createcookie s366600 541607 30,"corsair ,  null",corsair cardbide quiet 400q usb 3 0 pccomponentes,,,0,9673255#11394947
hp 500658 b21 1x4gb dual rank x4 pc3 10600,hp 500658 b21 1x4gb dual rank x4 pc3 10600,hp,"376638 b21 hp 1gb pc3200 reg ecc kit , null new wholesale price",description genuine hpe 1gb memory kit 2 x 512mb registered pc3200 sdrampart number s option part 376638 b21,hp enterprise,0,17039810#15134518
"null , 122633 001 fan chassis 120mm 130 new wholesale price",description fan fan chassis fan 120mm 130cfm v speed 3blpart number s manufacturer part 122633 001,hp enterprise,"null , 381817 001 hp 512 mb pc300 ddr ram new wholesale price",description 512 mb pc300 ddr ram part 381817 001,hp enterprise,0,14740830#17127688
lenovo 512gb thinkpad pcie nvme 3x4 m 2 internal solid state drive 4xb0k48502,,,thinkpad 512 gb pcie nvme 3x4 m 2 ssd storage lenovo australia,,,1,6084193#6742250
amd processor 8c fx 8320 3 5ghz 16mb 125w box fd8320frhkbox,,,amd piledriver fx 6 six core 6350 3 90ghz socket am3 processor with wraith cooler retail am3plus fd6350frhkhbx novatech,six core technology unlocked multiplier 3 90ghz clock speed 6mb l2 cache 8mb l3 cache hypertransport 3 0 technology 3 year warranty,amd,0,13271391#316098
apple mac pro 6c 3 5ghz xeon 16gb 4x4gb 256gb flash 2xfireprod500 2xgbe ac bt md878ll a,,,mac pro xeon e5 3 5ghz 256gb,,apple,1,15938006#17510938
tech air taecb001 15 6 mochila negro maletines para port ti hp spectre 13 v101ns i7 7500u 8gb 256gb ssd 3 w10 black friday,techair eco laptop backpack mochila para transporte de port til 15 6 negro,,lenovo y700 15isk i7 6700hq 12gb 1tb nvidia gtx960m 4gb 15 6 w10 gaming ga,i7 6700hq 4c 8t hasta 3 5ghz 12gb ram 1tb hdd 15 6 ips led fullhd nvidia gtx 960m 4gb ddr5 hdmi sin unidad ptica wifi ac bluetooth 4 0 2 usb 3 0 webcam hd720p 2 altavoces subwoofer jbl bater a 4 celdas windows 10 home 64 bit color negro,,0,14918527#9237300
lenovo gen5 enterprise easy swap hard drive 1 tb sata 6gb s 4xb0f28708 solid state drives ssds cdwg com,thinkserver always meets the demand on performance enhancement and feature enablement by continuous improvement on products and options upgrading your systems with the new options will bring you great values with flexibility scalability field proven reliability,,seagate sshd 5900rpm 3 5 4tb sata 6gb s 64mb cache oem st4000dx001 hybrid drive ocuk,4tb capacity sata 6gb s interface 5900rpm spin speed 64mb cache 5 year warranty 8gb mlc nand,seagate,0,14648998#16855273
speck flaptop sleeve for macbook air 13 77496 5547,,,speck products flaptop sleeve for macbook air 13 77496 5547 laptop accessories page 1411 laptops outlet direct,the flaptop sleeve by speck provides laptop protection with and easy in and out experience our patent pending design incorporates a closure mechanism that uses the shape of the macbook to provide secure form fit protection when closed and quick easy access when open an impactium foam bumper created with inner geometry engineered to compress on impact provides maximum protection cushioning the macbook on impact water resistant outer materials provide additional protection from the elements the flaptop is customized by macbook model for a secure fit with or without speck seethru cases on your device,speck,1,1749942#11225942
"""Acer Swift 1 SF113-31-P4A2 Pink ""@de","""                                                         33,80cm (13,3"") FullHD, Intel Pentium N4200 (4x 1,1GHz), 4GB RAM, 256GB SSD, Intel HD Graphics, Windows 10 Home 64-Bit                                                ""@de",,"null , 667805 b21 hp intel xeon e5 2603 1 8ghz bl460c g8",description hp intel xeon e5 2603 bl460c g8 1 8ghz 4 core 10mb 80w full processor option kitpart number s manufacturer part 667805 b21,hp enterprise,0,17557479#10375562
extreme microsdxc 64gb sd adap rescpro almacenamiento disco duro o tarjeta tu tienda online l der con precios m s baratos,sandisk extreme tarjeta de memoria flash adaptador microsdxc a sd incluido 64 gb a1 video class v30 uhs i u3 microsdxc uhs i,,sandisk extreme microsdxc 64gb prijzen tweakers,,,1,13465672#7281792
"null , 238590 b21 hp 36 4 gb 10k fc al hdd new wholesale price",description storageworks 36 4gb 10k fibre channel40 pin 2gb s hotswap fcal hard drivegenuine hpe serial number and firmwarepart number s option part 238590 b21 spare part 240787 001 assembly part 231086 002 2 5 2 part fe 19979 01 model bd03654499,hp enterprise,"null , 238590 b21 hp 36 4 gb 10k fc al hdd wholesale price",description storageworks 36 4gb 10k fibre channel40 pin 2gb s hotswap fcal hard drivegenuine hpe serial number and firmwarepart number s option part 238590 b21 spare part 240787 001 assembly part 231086 002 2 5 2 part fe 19979 01 model bd03654499,hp enterprise,1,17556201#4806429
corsair flash voyager slider x2 32 gb usb 3 0 drive blue cmfsl3x2 32gb novatech,,corsair,sandisk ultra usb flash drive 128 gb sdcz48 128g a46 thumb drives cdw com,the sandisk ultra usb 3 0 flash drive combines faster data speeds and generous capacity in a compact stylish package spend less time waiting and transfer files to the drive up to ten times faster than with a standard usb 2 0 drive with enough storage capacities the drive can accommodate your bulkiest media files and documents,,0,16856598#9213135
"null , fd458 dell 73 gb u320 scsi hp 15k w 9d988 2 pack wholesale price 2pack",description 2 x 73gb ultra320 3 5 inch scsi hot plug 15k dell hard drive in dell 9d988 3 5 inch hot plug hard drive tray as pictured genuine dell serial number and firmwaregenuine dell certified enterprise class hard drivepart number s manufacturer part fd458,dell,"null , py276aa hp 80 gb 7 2k 3 5 nhp sata new 2 pack wholesale price 2pack",description 2 x 80gb serial ata sata hard drive 7 2k 3 5 inchpart number s hewlett packard part py276aa,hp enterprise,0,17145038#15783746
acer swift 1 sf113 31 p4a2 pink samsung galaxy tab s3 t820n wifi 32gb schwarz android tablets arlt computer,,,macbook air 13 mmgf2ll a 1 6ghz i5 8gb 128gb previous model on sale at portableone,the apple 13 macbook air mjve2ll a is thin light and durable enough to take everywhere you go and powerful enough to do everything once you get there everything a laptop should be featuring the intel 1 6ghz i5 dual core broadwell processor and intel hd graphics 6000 deliver high performance while using less power so you get remarkable battery life up to 9 hours on the 13 macbook air and with up to 45 percent faster flash storage compared to the previous generation also featuring 8gb of ram and 128gb pcie flash storage 802 11ac wi fi for up to 3x faster wireless the macbook air is quicker and more responsive than ever customize your new macbook air with additional ram flash drive upgrade and much more custom configure your 13 macbook air at portable one your source for custom laptops 1 6 ghz dual core intel core i5 turbo boost up to 2 7ghz broadwell processor8gb of 1600mhz lpddr3 onboard memory128gb pcie flash storage 13 inch diagonal high resolution led backlit glossy widescreen display with support for millions of colors 1440 by 900 native dual display and video mirroring simultaneously supports full native resolution on the built in display and up to 2560 by 1600 pixels on up to two external displays at millions of colorsintel hd graphics 6000 full size backlit keyboard with 78 u s or 79 iso keys including 12 function keys and 4 arrow keys inverted t arrangement with ambient light sensor choose from us english arabic british danish french german italian japanese norwegian swedish spanish multi touch trackpad for precise cursor control supports inertial scrolling pinch rotate swipe three finger swipe four finger swipe tap double tap and drag capabilitiesstereo speakers with omnidirectional microphones802 11ac wi fi wireless networking ieee 802 11 b g n compatible720p facetime hd cameraup to 9 hour s wireless web 30 days standby time45w magsafe 2 power adapter with cable management system magsafe 2 power port12 8in x 8 94in x 0 68in 2 96lbsbluetooth 4 0 wireless technologyenergy star qualified epeat gold1 year apple warranty your macbook air comes with 90 days of free telephone support and a one year limited warranty purchase the applecare protection plan to extend your service and support to three years from your computer s purchase date only the applecare protection plan provides you with direct telephone support from apple technical experts and the assurance that repairs will be handled by apple authorized technicians using genuine apple parts for more information visit apple support or call 1 800 my apple os xconnections and expansion two usb 3 ports up to 5 gbps thunderbolt 2 port magsafe 2 power port apple 13 macbook air mjve2ll b apple 45w magsafe 2 ac wall plug and power cord printed and electronic documentation write a review read all reviews,,0,14207020#9964771
"hp 199679 001 10 20 gb ext scsi dlt , null wholesale price",description 10 20gb ext scsi dltpart number s option part 199679 001,hp enterprise,"null , bf036863b5 hp 36 4 gb u320 scsi 15k",description 36 4gb ultra320 3 5 inch scsi hot plug 15k hard drivein hpe drive tray as pictured genuine serial number and firmwarepart s bf036863b5,hp enterprise,0,17415133#15175188
"null , 230994 001 hp rail kit for ml370 g2 g3",overview hp rack mounting hardware kit ml370 g2 g3part number s option part 230994 001,hp enterprise,"333773 b21 hp bl10e g2 40gb server blade , null",description hp proliant bl10e g2 server 1 x pentium iii 1ghz 512mb ddr sdram 40gb manufacturer part 333773 b21,hp enterprise,0,16390886#15604029
"null , 293472 b22 hp msl5026 sdlt rackmount tape library wholesale price",description hp msl5026 160 320gb sdlt rackmount tape librarypart number s hewlett packard part 293472 b22,hp enterprise,"compaq dlt drive 2040 tape scsi , series prices cnet",,hp,0,16592461#3711678
"361040 b21 hp slim dvd dl145 , null new wholesale price",description slim dvd option kit for the proliant dl145 option part 361040 b21,hp enterprise,hewlett packard enterprise dvd rom internal black optical disc drive specs drives 361040 b21,"more short summary description hewlett packard enterprise dvd rom internal black optical disc drive this short summary of the hewlett packard enterprise dvd rom internal black optical disc drive data sheet is auto generated and uses the product title and the first six key specs hewlett packard enterprise dvd rom black 1 09 kg long summary description hewlett packard enterprise dvd rom internal black optical disc drive hewlett packard enterprise dvd rom colour of product black weight 1 09 kg this is an auto generated long summary of hewlett packard enterprise dvd rom internal black optical disc drive based on the first three specs of the first five spec groups ,  long product name hewlett packard enterprise dvd rom internal black optical disc drive the short editorial description of hewlett packard enterprise dvd rom internal black optical disc drive slimline dvd rom drive",hewlett packard enterprise,1,16399734#1246918
intel core i3 4150 3 50ghz haswell socket lga1150 processor retail processo ocuk,dual core technology 3 50ghz clock speed 22nm process 3mb l3 cache dual channel ddr3 controller integrated hd 4400 graphics 3 year warranty,intel,intel core i5 4570 haswell processor ln50789 bx80646i54570 scan uk,intel core i5 4570 lga 1150 haswell quad core 3 2ghz base 3 6ghz turbo 1150mhz gpu 84w cpu retail,,0,3567348#16593495
hp signature slim topload tasche 14,p flach gepolstert und professionell veredelt die hp signature slim topload tasche 35 5 cm 14 zoll zwei gepolsterte haupttaschen f r ein notebook tablet sowie viele zus tzliche cher zu den besonderen merkmalen geh ren der audio ladeanschluss das folierte logo dezente farbgebung riemen zur befestigung an einem trolley griff urbaner chic einfach modern elegant kommerzielle garantie 1 jahr,,hp probook 440 g4 notebook pc notebooks store deutschland,,,0,9297439#16599863
transcend ultimate flash memory card 32 gb microsdhc uhs i ts32gusdu3 cards cdwg com,transcend s sdxc sdhc uhs i speed class 3 u3 633x microsd cards provide the performance and capacity necessary to harness the full power of your uhs i compliant smartphones tablets digital cameras and camcorders capable of reaching incredible read and write speeds of up to 95mb s and 85mb s these cards can easily capture ultra high quality 4k and 3d recording and significantly reduce the time it takes to transfer videos to your computer additionally the top tier mlc nand flash chips inside provide consistent long life durability and endurance,,transcend jetflash 500 8gb blauw prijzen tweakers,,,0,12050629#10950641
asus m5a97 le am3 ddr3 gblan cfire 7 1snd atx r2 0,asus m5a97 le am3 ddr3 gblan cfire 7 1snd atx,asus,gigabyte ga z170 hd3p prijzen tweakers,,,0,5465187#592745
gigabyte gb bace 3150 brix,ordenador minipc nettop disipacion pasiva celeron n3150 wifi ac usb 3 0 hdmi vga sin so ram disco 1xsodimm ddr3l 1xsata3 2 5,,asrock fatal1ty 990fx killer prijzen tweakers,,,0,11697681#11910730
